skill,category,difficulty,prerequisite,est_hours,resource_title,resource_url
mongodb,Database,Intermediate,,15,MongoDB University,https://learn.mongodb.com/
sqlite,Database,Intermediate,,15,Search official documentation,https://www.google.com/search?q=sqlite+tutorial
tensorflow,AI Engineer,Advanced,machine learning,30,TensorFlow Tutorials,https://www.tensorflow.org/tutorials
pytorch,AI Engineer,Advanced,machine learning,30,PyTorch Tutorials,https://pytorch.org/tutorials/
cnn,AI Engineer,Intermediate,,15,Search official documentation,https://www.google.com/search?q=cnn+tutorial
transformers,AI Engineer,Intermediate,,15,Search official documentation,https://www.google.com/search?q=transformers+tutorial
langchain,AI Engineer,Intermediate,,15,Search official documentation,https://www.google.com/search?q=langchain+tutorial
llm,AI Engineer,Intermediate,,15,Search official documentation,https://www.google.com/search?q=llm+tutorial
opencv,AI Engineer,Intermediate,,15,Search official documentation,https://www.google.com/search?q=opencv+tutorial
computer vision,AI Engineer,Intermediate,,15,Search official documentation,https://www.google.com/search?q=computer+vision+tutorial
scikit-learn,Machine Learning,Intermediate,,15,Search official documentation,https://www.google.com/search?q=scikit-learn+tutorial
mlflow,Machine Learning,Intermediate,,15,Search official documentation,https://www.google.com/search?q=mlflow+tutorial
feature engineering,Machine Learning,Intermediate,,15,Search official documentation,https://www.google.com/search?q=feature+engineering+tutorial
classification,Machine Learning,Intermediate,,15,Search official documentation,https://www.google.com/search?q=classification+tutorial
model deployment,Machine Learning,Intermediate,,15,Search official documentation,https://www.google.com/search?q=model+deployment+tutorial
model training,Machine Learning,Intermediate,,15,Search official documentation,https://www.google.com/search?q=model+training+tutorial
model evaluation,Machine Learning,Intermediate,,15,Search official documentation,https://www.google.com/search?q=model+evaluation+tutorial
hyperparameter tuning,Machine Learning,Intermediate,,15,Search official documentation,https://www.google.com/search?q=hyperparameter+tuning+tutorial
pandas,Data Science,Intermediate,,15,Search official documentation,https://www.google.com/search?q=pandas+tutorial
numpy,Data Science,Intermediate,,15,Search official documentation,https://www.google.com/search?q=numpy+tutorial
statistics,Data Science,Intermediate,,15,Search official documentation,https://www.google.com/search?q=statistics+tutorial
matplotlib,Data Science,Intermediate,,15,Search official documentation,https://www.google.com/search?q=matplotlib+tutorial
jupyter notebook,Data Science,Intermediate,,15,Search official documentation,https://www.google.com/search?q=jupyter+notebook+tutorial
data visualization,Data Science,Intermediate,,15,Search official documentation,https://www.google.com/search?q=data+visualization+tutorial
sql,Data Analyst,Beginner,,15,SQL Tutorial by W3Schools,https://www.w3schools.com/sql/
power bi,Data Analyst,Intermediate,,20,Power BI Documentation,https://learn.microsoft.com/en-us/power-bi/
excel,Data Analyst,Intermediate,,15,Search official documentation,https://www.google.com/search?q=excel+tutorial
tableau,Data Analyst,Intermediate,,20,Tableau Free Training,https://www.tableau.com/learn/training/20234
dashboard reporting,Data Analyst,Intermediate,,15,Search official documentation,https://www.google.com/search?q=dashboard+reporting+tutorial
kpi analysis,Data Analyst,Intermediate,,15,Search official documentation,https://www.google.com/search?q=kpi+analysis+tutorial
jenkins,DevOps,Intermediate,,15,Search official documentation,https://www.google.com/search?q=jenkins+tutorial
docker,DevOps,Intermediate,linux,15,Docker Curriculum,https://docker-curriculum.com/
kubernetes,DevOps,Advanced,docker,30,Kubernetes Basics,https://kubernetes.io/docs/tutorials/kubernetes-basics/
ansible,DevOps,Intermediate,,15,Search official documentation,https://www.google.com/search?q=ansible+tutorial
prometheus,DevOps,Intermediate,,15,Search official documentation,https://www.google.com/search?q=prometheus+tutorial
grafana,DevOps,Intermediate,,15,Search official documentation,https://www.google.com/search?q=grafana+tutorial
github actions,DevOps,Intermediate,,15,Search official documentation,https://www.google.com/search?q=github+actions+tutorial
aws,Cloud,Intermediate,,30,AWS Skill Builder,https://explore.skillbuilder.aws/
ec2,Cloud,Intermediate,,15,Search official documentation,https://www.google.com/search?q=ec2+tutorial
s3,Cloud,Intermediate,,15,Search official documentation,https://www.google.com/search?q=s3+tutorial
lambda,Cloud,Intermediate,,15,Search official documentation,https://www.google.com/search?q=lambda+tutorial
aws ec2,Cloud,Intermediate,,15,Search official documentation,https://www.google.com/search?q=aws+ec2+tutorial
aws s3,Cloud,Intermediate,,15,Search official documentation,https://www.google.com/search?q=aws+s3+tutorial
aws lambda,Cloud,Intermediate,,15,Search official documentation,https://www.google.com/search?q=aws+lambda+tutorial
azure vm,Cloud,Intermediate,,20,Azure Fundamentals,https://learn.microsoft.com/en-us/training/azure/
google cloud,Cloud,Intermediate,,20,Google Cloud Training,https://cloud.google.com/training
cloudformation,Cloud,Intermediate,,15,Search official documentation,https://www.google.com/search?q=cloudformation+tutorial
vpc,Cloud,Intermediate,,15,Search official documentation,https://www.google.com/search?q=vpc+tutorial
iam,Cloud,Intermediate,,15,Search official documentation,https://www.google.com/search?q=iam+tutorial
flutter,Mobile Development,Intermediate,,15,Search official documentation,https://www.google.com/search?q=flutter+tutorial
firebase,Mobile Development,Intermediate,,15,Search official documentation,https://www.google.com/search?q=firebase+tutorial
android studio,Mobile Development,Intermediate,,15,Search official documentation,https://www.google.com/search?q=android+studio+tutorial
android sdk,Mobile Development,Intermediate,,15,Search official documentation,https://www.google.com/search?q=android+sdk+tutorial
cross platform,Mobile Development,Intermediate,,15,Search official documentation,https://www.google.com/search?q=cross+platform+tutorial
android development,Mobile Development,Intermediate,,15,Search official documentation,https://www.google.com/search?q=android+development+tutorial
mobile application,Mobile Development,Intermediate,,15,Search official documentation,https://www.google.com/search?q=mobile+application+tutorial
play store deployment,Mobile Development,Intermediate,,15,Search official documentation,https://www.google.com/search?q=play+store+deployment+tutorial
mern stack,Full Stack,Intermediate,,15,Search official documentation,https://www.google.com/search?q=mern+stack+tutorial
full stack architecture,Full Stack,Intermediate,,15,Search official documentation,https://www.google.com/search?q=full+stack+architecture+tutorial
api integration,Full Stack,Intermediate,,15,Search official documentation,https://www.google.com/search?q=api+integration+tutorial
frontend backend,Full Stack,Intermediate,,15,Search official documentation,https://www.google.com/search?q=frontend+backend+tutorial
authentication,Full Stack,Intermediate,,15,Search official documentation,https://www.google.com/search?q=authentication+tutorial
selenium,QA,Intermediate,,15,Search official documentation,https://www.google.com/search?q=selenium+tutorial
automation testing,QA,Intermediate,,15,Search official documentation,https://www.google.com/search?q=automation+testing+tutorial
manual testing,QA,Intermediate,,15,Search official documentation,https://www.google.com/search?q=manual+testing+tutorial
api testing,QA,Intermediate,,15,Search official documentation,https://www.google.com/search?q=api+testing+tutorial
postman,QA,Intermediate,,15,Search official documentation,https://www.google.com/search?q=postman+tutorial
penetration testing,Cybersecurity,Intermediate,,15,Search official documentation,https://www.google.com/search?q=penetration+testing+tutorial
ethical hacking,Cybersecurity,Intermediate,,15,Search official documentation,https://www.google.com/search?q=ethical+hacking+tutorial
kali linux,Cybersecurity,Intermediate,,15,Search official documentation,https://www.google.com/search?q=kali+linux+tutorial
wireshark,Cybersecurity,Intermediate,,15,Search official documentation,https://www.google.com/search?q=wireshark+tutorial
metasploit,Cybersecurity,Intermediate,,15,Search official documentation,https://www.google.com/search?q=metasploit+tutorial
